word	polarity
bank	-1
america	-1
every	-1
microsoft	1
fargo	-1
wells	-1
ces	-1
wellsfargo	-1
generalelectric	1
bofa	-1
of	-1
electric	1
wef	-1
general	1
rt	1
peltz	1
oct	1
idf	-1
stadium	-1
ge	1
march	1
surface	1
vmworld	-1
trian	1
jan	-1
nelson	1
apple	-1
seemasapralaw	1
stake	1
google	1
fcpa	1
porn	1
upgradeyourworld	-1
mplusplaces	-1
panthers	-1
jumped	1
mwc	1
attorney	1
kla	1
tencor	1
industrial	1
gemm	1
checked	-1
higher	1
february	1
rose	1
llp	1
investigating	1
esq	1
shareholders	1
share	1
adapter	-1
surged	1
airgas	1
surfacebook	1
ac	-1
lam	1
klac	1
bac	-1
windows	1
hpss	-1
livebeef	-1
corpgov	1
gartnersym	1
aug	-1
foods	1
gained	1
nrf	-1
fbi	1
nike	1
intel	1
yesmynameissumo	-1
board	1
vw	-1
hormel	1
indonesia	1
arg	1
your	1
receive	1
adt	1
fp	-1
duties	1
company	1
predix	1
contact	1
brillianttailgate	1
fiduciary	1
breaches	1
unstoppable	-1
fairness	1
immelt	1
halo	1
free	1
fiction	1
breached	1
news	-1
refrigerator	-1
printingreinvented	1
apollo	1
beat	1
protestors	1
awakenyourforce	-1
shantanum	1
freeze	1
myprintlymoms	1
next	1
gaga	-1
liquide	1
billion	1
rappelled	1
fintech	-1
industrialinternet	1
here	1
india	1
commenced	1
porsche	-1
apartheid	-1
myprintly	1
mfr	1
cameron	1
wish	1
investigation	1
ftr	1
clioawards	1
kors	1
scramble	-1
revenue	1
soared	1
satyanadella	1
valued	1
priceline	1
armour	1
elite	1
positive	1
morenci	1
podcast	1
agl	1
palestine	-1
teco	1
iot	1
merger	1
anheuser	1
telephone	1
violations	1
boycotthp	-1
neverrunout	1
busch	1
law	1
nigro	1
sabmiller	1
own	1
cloud	1
lrcx	1
onerepublic	1
hudson	1
teller	-1
mining	1
proposed	1
interrupting	1
undervalues	1
recovered	1
clio	1
mineral	1
shares	1
activist	1
deal	1
annefinucane	-1
nadella	1
aggrieved	1
mover	1
banks	-1
pcln	1
consensus	1
cmo	1
inbev	1
guarantee	1
pornvines	1
awakenyourforcesweepstakes	-1
acquisition	1
mail	1
buyout	1
terms	1
arduino	1
hotel	1
gross	1
bbq	1
toll	1
rally	1
ballmer	1
beer	1
telegraph	1
hrl	1
mortgage	-1
boost	1
molson	1
attorneys	1
shareholder	1
debate	1
questions	1
euromold	1
coors	1
bofaml	-1
expedia	1
esquire	1
firm	1
swiftkey	-1
strong	1
solid	1
sumitomo	1
indiecade	1
walmart	1
umengineering	1
best	1
ua	1
directors	1
nice	1
marhowra	1
bribing	1
wine	1
arielle	1
trolling	-1
jeffimmelt	1
tyson	1
orbitz	1
hpwalmart	1
wfc	-1
emera	1
shoes	1
transaction	1
ianmharding	1
bankingjobs	-1
fintechjobs	-1
breaks	1
mostly	1
up	1
hotels	1
lindaboff	1
surfacepro	1
nand	1
earnings	1
midstream	-1
att	1
gmttext	1
havok	1
on	1
refill	1
servicegovernance	-1
pursued	1
onedrive	1
bid	1
worth	1
research	1
manny	1
sb	-1
acquire	1
pllc	1
margin	1
recommendations	1
above	1
dayrates	1
beblogalicious	-1
duty	1
price	1
chicken	1
month	1
focuses	1
cocos	1
intelusa	1
bookings	1
meeting	1
acquired	1
iphone	-1
xbox	1
fallonventions	1
upside	1
keeppounding	-1
uber	-1
mentioned	1
zacks	1
click	1
outcome	1
you	1
pă…	1
frontier	1
applenws	-1
move	1
raline	-1
sholah	-1
nobar	-1
jab	1
beef	1
dark	-1
cam	1
ctl	1
to	1
pork	1
glencore	1
pacquiao	1
zerohedge	-1
diesel	-1
tsn	1
yoy	1
results	1
gear	1
advertisement	1
nke	1
stock	1
booth	-1
lumia	1
briscoe	1
powerstaylor	1
thebriscoelawfirm	1
cash	1
mbg	-1
design	1
upbeat	1
mplaces	-1
premium	1
transactional	1
elitex	1
highlight	1
being	1
brower	1
det	1
pimunich	1
davidsirota	1
would	1
digital	1
piven	1
litigating	1
browerpiven	1
conagra	1
reported	1
wmb	-1
solarcity	1
day	1
fcx	1
more	1
indonesian	1
itself	1
fiscal	1
freeport	1
crisis	-1
slightly	1
former	1
purchased	1
charger	-1
sparkling	1
unchanged	1
plan	1
sci	1
dprinting	1
agreement	1
email	1
telecom	1
pitvtweets	1
mergeractivity	1
gb	-1
azure	1
systemic	1
adequately	1
plummet	-1
ajlucio	1
volkswagen	-1
underperformance	-1
pc	1
bttf	1
smexa	-1
stakes	1
learn	1
potential	1
arbib	-1
emergency	-1
encouraging	1
corruptly	1
motorola	1
tentative	1
discuss	1
gurmeetramrahim	-1
beverage	1
late	1
exemplary	1
davos	-1
big	1
mannypacquiaoforunderarmour	1
suits	1
climbed	1
linux	1
swiss	-1
faruqi	1
faruqilaw	1
apo	1
volatile	1
dellworld	1
să…	1
skechers	1
sndk	1
ifa	1
pharmaceutical	-1
futureunleashed	1
sales	1
eps	1
estimate	1
laughed	1
digit	1
snxinspire	1
beverages	1
gus	-1
moving	1
cag	1
nyc	1
loco	1
per	1
drones	-1
tcr	1
sinclair	1
endo	-1
og	1
unprecedented	1
resistance	1
bk	-1
versionâšˇ	1
damvon	1
âšˇbefore	1
commerce	1
craft	1
margins	1
impressive	1
represents	1
xme	1
presidents	1
investment	1
grew	1
schlumberger	1
raised	1
sale	1
insurance	-1
increase	1
beating	1
centurylink	1
bears	1
cleanup	1
cisco	1
israel	-1
similar	1
broadband	1
mix	1
winterkorn	-1
exelon	1
steve	1
kca	1
cebit	1
layoffs	1
computing	1
get	1
airlines	1
semiconductor	1
puma	1
interests	1
hpharmspalestinians	-1
hughes	1
moved	1
invests	1
viacom	-1
apart	1
cryptocurrency	-1
soup	1
wealth	-1
du	1
guardians	1
helped	1
canned	1
particular	1
mcintyre	1
exc	1
sjamsuddin	1
review	1
congrats	1
hathaway	1
miners	1
targeting	1
comp	1
kirstie	1
with	1
bps	1
hpchannelnews	1
indicator	-1
outatime	1
harwoodfefferharwood	1
feffer	1
bsachsmichaels	1
hfesq	1
snapple	1
and	1
banking	-1
total	1
gamingforeveryone	1
want	1
brands	1
please	1
moynihan	-1
constant	1
each	1
currently	1
bernardino	1
tyco	1
indian	1
disclosure	1
depth	-1
did	1
recon	-1
harwood	1
airline	1
account	-1
michaels	1
paint	1
dangerous	1
close	1
locos	1
withdrawing	-1
exam	-1
teamkaliber	1
bit	1
iiot	1
fustbariclation	-1
how	1
marathon	-1
highest	1
pcdoeswhat	1
presenting	1
mcclendon	1
recession	-1
afloat	-1
icahn	1
infinityward	1
ministerial	1
lows	-1
ladygaga	-1
glncy	1
wrongdoing	-1
again	1
ete	-1
patrick	1
eda	1
bribed	1
gaunt	-1
refinancing	1
derivative	1
vote	-1
meat	1
ksf	1
musical	1
treyarch	1
gdc	1
dealmaxxdeals	1
carcinogens	1
lovecraft	1
resorts	1
representatives	1
surges	1
dbb	1
finest	-1
votekathrynfpp	1
expanding	1
zlk	1
korsinsky	1
jlevi	1
travelocity	1
sandisk	1
stevenson	1
carnage	-1
the	1
ipad	-1
nascar	-1
sxsw	1
action	1
bottlers	1
endp	-1
douwe	1
egberts	1
obnoxiously	1
fourpoint	1
jmonteverde	1
monteverde	1
category	1
associate	-1
happy	1
nixcraft	1
blac	-1
mcmoran	1
new	1
victories	1
came	1
states	-1
scroll	1
vainglorygame	1
turtlebeach	1
gainer	1
thomson	1
laughter	1
reinventtheoffice	1
dtcs	1
disposals	1
genworth	-1
play	1
packaged	1
corporation	1
seahawks	-1
kinds	1
mpc	-1
bowl	-1
tahoe	1
phototo	1
avenue	1
vf	1
tix	-1
basis	1
started	1
rockstargames	1
qatar	1
finalize	1
rigged	-1
targets	1
fslr	1
work	1
markraskino	1
nov	1
for	1
prior	1
later	1
mop	1
lvlt	1
hiring	-1
revpar	1
hereby	1
ceiling	-1
lines	1
sell	1
however	1
extensive	1
ptc	1
energyefficiency	1
willie	1
hybrid	1
has	1
request	1
rise	1
offer	1
caribou	1
infosys	1
youngsta	-1
latest	1
lorettalynch	1
fancienanc	1
extension	1
powered	1
giant	1
paloalto	-1
antitrust	1
tear	1
compaq	-1
sbj	1
iwill	1
ixn	1
paxport	1
wr	-1
tumbling	-1
speaking	1
high	1
barrel	-1
dividend	1
congratulations	1
surpassed	1
fdi	1
common	1
som	1
aubrey	1
talentacquisition	1
fulfilling	1
alco	1
serra	1
job	-1
nxpi	1
gains	1
tomlinsoff	1
broadcom	1
revises	1
pit	1
book	1
music	-1
dorsey	1
smartwater	-1
shot	1
mine	1
car	-1
minecraft	1
campbell	1
enb	1
profit	1
espn	-1
footwear	1
river	1
gulshanrani	1
uptrend	1
garden	1
luxury	1
comments	1
cartel	-1
persons	1
humira	1
venture	1
saddling	1
merge	1
snack	1
buy	1
turkey	1
rights	1
can	1
swick	1
ksfcounsel	1
foti	1
madisonville	1
berkshire	1
food	1
vmc	1
greene	1
peer	1
bdt	1
frame	1
excellent	1
piech	-1
viab	-1
friday	1
kindnessofmsg	-1
answers	1
ota	1
epd	-1
losersstocks	1
clarified	1
format	1
rallied	1
robbery	-1
lbo	1
mwf	-1
info	1
rowley	-1
opportunity	1
communications	1
input	1
forms	-1
awscloud	1
everup	1
medicaid	-1
smallishuge	-1
achieved	1
patients	-1
corsair	1
saving	1
accessory	1
advocating	1
malvern	-1
increased	1
cost	1
iwd	1
surge	1
session	1
line	1
exciting	1
detriment	1
eduard	1
yesterday	1
top	1
brk	1
callofduty	1
theindiegamecon	1
attractive	1
starwood	1
importante	1
bauervanstraten	-1
morganlander	-1
speedway	-1
airborne	-1
avago	1
learning	1
afternoon	1
falling	-1
underpaying	1
rhs	1
freescale	1
eva	1
cheater	1
abuses	-1
buys	1
