id;ticker;name;index_id;exchange_id;fb_page;tw_name;tw_search_name;;other_tw_name;tw_name has other lang than AJ;fb page other lang
1;MMM;3M Company;1;;3M;3M;3M Company;;;;
2;ABT;Abbott Laboratories;1;;;AbbottNews;Abbott;;;;
3;ABBV;AbbVie;1;;;abbvie;AbbVie;;;;
4;ACN;Accenture plc;1;;accenture;Accenture;Accenture;;;;
5;;ACE Limited;1;;;;HFU6418OIX_companydoesnotexist;;;;
6;ADBE;Adobe Systems Inc;1;;Adobe;Adobe;Adobe;;;;
7;ADT;ADT Corp;1;;;adt;ADT;;;;
8;AES;AES Corp;1;;;TheAESCorp;AES corp;;;;
9;AET;Aetna Inc;1;;aetna;AetnaNews;Aetna;;;;
10;AMG;Affiliated Managers Group Inc;1;;;;Affiliated Managers Group;;;;
11;AFL;AFLAC Inc;1;;Aflac;Aflac;Aflac;;;;
12;A;Agilent Technologies Inc;1;;Agilent.Tech;Agilent;Agilent;;;;
13;GAS;AGL Resources Inc.;1;;;AGL_Resources;AGL Resources;;;;
14;APD;Air Products & Chemicals Inc;1;;;AirProducts;Air Products and Chemicals;;;;
15;ARG;Airgas Inc;1;;;airgas;Airgas;;;;
16;AKAM;Akamai Technologies Inc;1;;AkamaiTechnologies;Akamai;Akamai;;;;
17;AA;Alcoa Inc;1;;alcoa;Alcoa;Alcoa;;;;
18;ALXN;Alexion Pharmaceuticals;1;;;alexionpharma;Alexion;;;;
19;ATI;Allegheny Technologies Inc;1;;;;Allegheny Technologies;;;;
20;ALLE;Allegion;1;;AllegionPlc;AllegionPlc;Allegion;;AllegionUS;;
21;AGN;Allergan plc;1;;;Allergan;Allergan;;;;
22;ADS;Alliance Data Systems;1;;alliancedata;AllianceData;Alliance Data Systems;;;;
23;ALL;Allstate Corp;1;;Allstate;AllstateNews;Allstate;;Allstate;;
24;ALTR;Altera Corp;1;;alteracorp;alteracorp;Altera co;;;;
25;MO;Altria Group Inc;1;;;AltriaNews;Altria;;;;
26;AMZN;Amazon.com Inc;1;;Amazon;amazon;Amazon;;;;
27;AEE;Ameren Corp;1;;AmerenCorp;AmerenCorp;Ameren;;;;
28;AAL;American Airlines Group;1;;AmericanAirlines;AmericanAir;American Airlines;;;;
29;AEP;American Electric Power;1;;americanelectricpower;AEPnews;American Electric Power;;;;
30;AXP;American Express Co;1;;AmericanExpress;AmericanExpress;American Express;;;;
31;AIG;American International Group, Inc.;1;;AIGInsurance;AIGinsurance;AIG;;;;
32;AMT;American Tower Corp A;1;;;;American Tower corp;;;;
33;AMP;Ameriprise Financial;1;;Ameriprise;Ameriprise_News;Ameriprise;;;;
34;ABC;AmerisourceBergen Corp;1;;;Healthcare_ABC;AmerisourceBergen;;;;
35;AME;Ametek;1;;;AMETEKInc;AMETEK;;;;
36;AMGN;Amgen Inc;1;;;Amgen;Amgen inc.;;;;
37;APH;Amphenol Corp A;1;;;AmphenolLtd;Amphenol;;amphenol;;
38;APC;Anadarko Petroleum Corp;1;;AnadarkoPetroleumCorporation;;Anadarko ;;;;
39;ADI;Analog Devices, Inc.;1;;;ADI_News;Analog Devices inc.;;;;
40;ANTM;Anthem Inc.;1;;;AnthemInc;Anthem inc.;;;;
41;AON;Aon plc;1;;;Aon_plc;Aon plc;;;;
42;APA;Apache Corporation;1;;;ApacheCorp;Apache corp;;;;
43;AIV;Apartment Investment & Mgmt;1;;;AimcoApts;Apartment Investment & Management co;;;;
44;AAPL;Apple Inc.;1;;;applenws;Apple inc;;;;
45;AMAT;Applied Materials Inc;1;;;Applied_Blog;Applied Materials;;;;
46;ADM;Archer-Daniels-Midland Co;1;;;ADMupdates;Archer Daniels Midland;;;;
47;AIZ;Assurant Inc;1;;;AssurantNews;Assurant inc;;;;
48;T;AT&T Inc;1;;ATT;att;AT&T;;;;
49;ADSK;Autodesk Inc;1;;autodesk;autodesk;Autodesk;;;;
50;ADP;Automatic Data Processing;1;;AutomaticDataProcessing;ADP;Automatic Data Processing;;;;
51;AN;AutoNation Inc;1;;autonation;AutoNation;Autonation inc;;;;
52;AZO;AutoZone Inc;1;;;autozone;Autozone inc;;;;
53;AVGO;Avago Technologies;1;;Avagotech;Avagotech;Avago Technologies;;;;
54;AVB;AvalonBay Communities, Inc.;1;;;AvalonBay;AvalonBay;;;;
55;AVY;Avery Dennison Corp;1;;AveryDennisonCorporation;AveryDennison;Avery Dennison;;;;
